,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,1538572992.677145,C9oEZWtG35wx1Mqq5,192.168.100.113,51338.0,192.168.100.1,53.0,udp,dns,0.001483,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1,1538572992.679377,CbhqpU1oZZyrP7PE6i,192.168.100.113,60088.0,192.168.100.1,53.0,udp,dns,5.038625,117,142,SF,-,-,0.0,Dd,3.0,201.0,2.0,198.0,-   Benign   -
2,1538573007.729801,CGnKaI1ugpq8xlKpwe,192.168.100.113,51470.0,192.168.100.1,53.0,udp,dns,0.110686,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
3,1538572997.719502,C0gyyCeYCgh7PLJlk,192.168.100.113,53043.0,192.168.100.1,53.0,udp,dns,5.004915,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
4,1538573017.851780,CmQJAHWaKPtp846r3,192.168.100.113,49307.0,192.168.100.1,53.0,udp,dns,0.202892,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
5,1538573007.841236,CySgXpyp1TF2dj73g,192.168.100.113,57913.0,192.168.100.1,53.0,udp,dns,5.005157,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
6,1538572997.719751,C8Bp5r4Ps9pq5ParI4,192.168.100.113,123.0,5.1.56.123,123.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,76.0,0.0,0.0,-   Benign   -
7,1538573049.666383,CXykeR1KaPsSCWrnid,192.168.100.113,38953.0,192.168.100.1,53.0,udp,dns,5.005165,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
8,1538573059.676931,C6dfdy62LceJ2Ukkh,192.168.100.113,47797.0,192.168.100.1,53.0,udp,dns,0.036972,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
9,1538573069.725456,CIbhd33f5DIlyNu8Tj,192.168.100.113,55212.0,192.168.100.1,53.0,udp,dns,0.041470,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
10,1538573059.714901,Cpfro7SN96sZQBJZk,192.168.100.113,48424.0,192.168.100.1,53.0,udp,dns,5.005150,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
11,1538573079.778219,C2Vjta1KA4aYyKgAKk,192.168.100.113,35291.0,192.168.100.1,53.0,udp,dns,0.025733,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
12,1538573069.767674,ChMj184YFh4tk3BMma,192.168.100.113,55684.0,192.168.100.1,53.0,udp,dns,5.005144,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
13,1538573050.665826,CEIpGZc2eJsl5LOe6,192.168.100.113,123.0,89.221.210.188,123.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,76.0,0.0,0.0,-   Benign   -
14,1538573125.676801,C2DMMB4ZAzyHGnW7b9,192.168.100.113,58955.0,192.168.100.1,53.0,udp,dns,0.001487,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
15,1538573115.666262,CHIfjoAWhXef7QYY1,192.168.100.113,54624.0,192.168.100.1,53.0,udp,dns,5.005151,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
16,1538573128.430221,CuzyB5upqpk2Ygr1f,192.168.100.113,38722.0,192.168.100.1,53.0,udp,dns,2.502582,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
17,1538573133.455854,CaFD7t4x11rNjJyXpe,192.168.100.113,41174.0,66.85.157.90,443.0,tcp,-,3.118731,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Malicious   C&C-Torii
18,1538573133.435618,CuZpfKc5Vd5fvhJJ7,192.168.100.113,55552.0,8.8.8.8,53.0,udp,dns,0.019987,39,55,SF,-,-,0.0,Dd,1.0,67.0,1.0,83.0,-   Benign   -
19,1538573140.654508,C2gDegk8EvlOlAaJi,192.168.100.113,41174.0,66.85.157.90,443.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Malicious   C&C-Torii
20,1538573125.679038,CIedhc3lt8B7BEl8Oe,192.168.100.113,46374.0,192.168.100.1,53.0,udp,dns,5.005148,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
21,1538573135.689597,CMZIt54K67qBcAtwe,192.168.100.113,34397.0,192.168.100.1,53.0,udp,dns,0.001232,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
22,1538573148.814347,CY9Vox2T9RVyTvV5Zc,192.168.100.113,41174.0,66.85.157.90,443.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Malicious   C&C-Torii
23,1538573145.702133,CJKfFS2y18khvBjAf8,192.168.100.113,44943.0,192.168.100.1,53.0,udp,dns,0.001488,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
24,1538573135.691828,CwhZxG3WEiwviRxHRc,192.168.100.113,35613.0,192.168.100.1,53.0,udp,dns,5.005149,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
25,1538573119.665474,CocweeffnM4x4ju1f,192.168.100.113,123.0,77.78.107.252,123.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,76.0,0.0,0.0,-   Benign   -
26,1538573178.494673,CT781125cyN34B4KZa,192.168.100.113,52495.0,8.8.8.8,53.0,udp,dns,-,-,-,S0,-,-,0.0,D,1.0,67.0,0.0,0.0,-   Benign   -
27,1538573183.499818,C0kC3k3W0cc7jBilB4,192.168.100.113,40356.0,8.8.8.8,53.0,udp,dns,-,-,-,S0,-,-,0.0,D,1.0,67.0,0.0,0.0,-   Benign   -
28,1538573173.489528,CZndum2TPUPQJUelGa,192.168.100.113,47646.0,192.168.100.1,53.0,udp,dns,2.502576,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
29,1538573188.505214,C4kCFw16ZeP5cy0Loi,192.168.100.113,54698.0,8.8.8.8,53.0,udp,dns,-,-,-,S0,-,-,0.0,D,1.0,67.0,0.0,0.0,-   Benign   -
30,1538573180.665940,CKqnDb2yiFsahe4L1g,192.168.100.113,57992.0,192.168.100.1,53.0,udp,dns,5.005141,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
31,1538573190.676477,CE5AM14K3LpiPbeJf1,192.168.100.113,44543.0,192.168.100.1,53.0,udp,dns,0.057466,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
